DEPTH,GR,SP,CAL,DEN,AC,CN
4318.875,54.716,37.05,12.158311311048445,10.768136666666665,67.195,10.557
4319.0,53.769,36.671,12.310543996701265,13.435091333333315,67.51,10.966
4319.125,53.318000000000005,36.150999999999996,12.345425242222134,13.551693999999973,67.607,10.852
4319.25,54.251000000000005,35.649,12.360982934778129,13.469348683333305,67.788,10.568
4319.375,55.137,35.501999999999995,12.32685899547918,13.476537349999973,67.807,10.051
4319.5,55.588,35.118,11.889649723776728,10.277656666666667,66.846,9.195
4319.625,56.913999999999994,33.74,11.13523326076399,8.173657333333335,65.318,8.237
4319.75,59.56100000000001,31.998,10.500868414234422,7.37270333333332,64.243,7.696000000000001
4319.875,66.146,30.228,9.758582740017788,7.755501333333319,63.288999999999994,7.557
4320.0,77.109,28.531999999999996,8.79220075155035,8.298999333333327,62.208999999999996,7.997000000000001
4320.125,92.228,27.041999999999998,7.80763222805945,8.641100666666668,61.46,10.027000000000001
4320.25,107.235,26.221999999999998,8.421028704955791,9.412235333333339,64.45,15.017000000000001
4320.375,115.38600000000001,26.122,10.478794478329108,9.13964166666667,70.16199999999999,20.724
4320.5,117.117,26.24,11.642791203197952,13.9076831555555,73.09899999999999,22.875
4320.625,116.344,26.476999999999997,12.261734188086212,14.987810047619,74.48,21.746
4320.75,115.391,26.968000000000004,12.761061502170515,13.209238133333354,75.53,18.386
4320.875,110.63,27.585,11.504448848113373,12.217404666666665,72.002,14.66
4321.0,97.167,28.335,9.70048238495834,9.994346,66.319,13.499
4321.125,78.97800000000001,29.486,10.232873345110223,7.882558000000001,65.73,12.655999999999999
4321.25,64.389,30.666,10.801348586117417,8.168989999999997,65.568,11.434000000000001
4321.375,59.156000000000006,31.614,10.725289151374431,7.833369333333323,64.783,10.585
4321.5,62.901,32.046,10.513084344213489,7.7635259999999855,64.586,10.463
4321.625,68.52600000000001,32.446,10.715958566601515,8.034466666666654,65.565,11.043
4321.75,71.01100000000001,33.066,10.955143221497789,8.424655999999995,66.307,12.357999999999999
4321.875,70.975,33.47,11.23749197144801,9.608586666666664,66.935,13.327
4322.0,69.562,34.205999999999996,11.88672977007131,13.467965349999966,68.273,13.939
4322.125,67.235,34.891999999999996,12.447702291496928,13.334015349999962,69.318,14.4
4322.25,64.203,34.969,12.809281670581083,13.610962016666628,69.885,14.655999999999999
4322.375,61.426,35.071,13.069434916389595,13.634016016666635,70.23100000000001,14.13
