Well,Thickiness,Por,K,Cal,Md,LLD,GR,AC,DEN,RMN,RMG,ILD,GRmax,GRmin,RMNmax,SPmax,DGR,Ceil,Middle,Floor,Vsh,SP,Min,Max,Ave
well3,0.58,22.23333333,9.5,4.233333333,0.070666667,8.95,78.7,293,2.31,3.58,4.52,6.47,120,47,1.5,20,0.434246575,79.00979052,67.00979052,54.04712545,51.57500444,33.0288,33.0288,67.00979052,60.52473426
well3,0.4,20.56666667,23,0.533333333,0.0575,7.7,73.1,301.5,2.26,5.46,5.46,8.29,120,47,1.5,20,0.357534247,71.05664825,59.05664825,45.32898155,57.92605333,33.6464,33.6464,59.05664825,56.28950444
well3,0.35,20.625,14,0.85,0.08,11.1,77.5,313.1,2.27,6.91,6.91,7.44,120,47,1.5,20,0.417808219,77.2023435,65.2023435,52.02287024,49.65328667,31.7936,31.7936,65.2023435,58.75165778
well3,0.25,15.6,10.5,,0.05,8.15,88.7,320.8,2.166,5.97,5.97,6.83,120,47,1.5,20,0.571232877,96.26098775,84.26098775,74.22673888,68.15393333,29.9408,29.9408,84.26098775,75.60755809
well3,0.47,18.2,2,0.8,0.123,5.73,89.8,277,2.17,5.65,4.59,4.59,120,47,1.5,20,0.58630137,98.39727465,86.39727465,76.80743487,41.46597333,26.2352,26.2352,86.39727465,71.39480692
well3,0.55,20.925,122.75,0.45,0.1005,10.5,74,301,2.27,6.09,6.09,7.61,120,47,1.5,20,0.369863014,72.25215275,60.25215275,46.60506924,46.50772,33.0288,33.0288,60.25215275,54.78093092
well3,0.57,27.03333333,65.66666667,0.55,0.101333333,13.6,63.6,313.2,2.17,6.09,6.59,8.46,120,47,1.5,20,0.22739726,60.36856709,48.36856709,34.7797833,45.04028,35.25216,35.25216,48.36856709,46.39126896
well3,0.42,23.575,97,1.1,0.098,13.1,77.5,309.1,2.213,5.158,6.28,10.45,120,47,1.5,20,0.417808219,77.2023435,65.2023435,52.02287024,49.92143333,33.39936,33.39936,65.2023435,58.96586312
well3,0.62,26.35714286,211.2857143,0.866666667,0.1342,15.47,48.5,310.7,2.188,4.83,6.09,10.49,120,47,1.5,20,0.020547945,50.64065631,38.64065631,28.99279968,45.689136,37.352,37.352,45.689136,39.92148662
well3,0.58,26.1625,261,0.45,0.151,13.85,51.97,308.12,2.213,4.71,5.34,11.44,120,47,1.5,20,0.068082192,52.08734757,40.08734757,29.12969382,41.85395111,37.352,37.352,41.85395111,40.16713352
