wellid,layer,tops,bottom,mid,salinaty,x,y,area,types,zone
TZ113H,S,4504.81,4666.2,4585.505,91880,4357799.2,14687598.5,TZ11,CaCl2,S1K3
TZ113H,S,4504.8,4666.2,4585.5,42290,4357799.2,14687598.5,TZ11,CaCl2,S1K3
TZ117,S,4450,4453,4451.5,6515,4356201.1,14687970.5,TZ11,NaSO4,S1K3
TZ12,S,4374.5,4413.5,4394,24830,4345491.3,14717344.5,TZ12,CaCl2,S1K3
TZ12,S,4374.5,4413.5,4394,63940,4345491.3,14717344.5,TZ12,CaCl2,S1K3
TZ12,S,4374.5,4413.5,4394,64050,4345491.3,14717344.5,TZ12,CaCl2,S1K3
TZ12,S,4374.5,4413.5,4394,62360,4345491.3,14717344.5,TZ12,CaCl2,S1K3
TZ12,S,4374.5,4413.5,4394,63990,4345491.3,14717344.5,TZ12,CaCl2,S1K3
TZ12-1,S,4325.77,,4325.77,87710,4348836.3,14714742.5,TZ12,CaCl2,S1K3
TZ122,S,4333.8,4344.4,4339.1,100300,4347901.6,14715487.1,TZ12,CaCl2,S1K3
TZ122,S,4325.88,4345.39,4335.635,23810,4347901.6,14715487.1,TZ12,NaCO3,S1K3
TZ122,S,4349,4352,4350.5,97190,4347901.6,14715487.1,TZ12,CaCl2,S1K3
TZ122,S,4349,4352,4350.5,93190,4347901.6,14715487.1,TZ12,CaCl2,S1K3
TZ122,S,4333.8,4344.4,4339.1,81970,4347901.6,14715487.1,TZ12,CaCl2,S1K3
TZ122,S,4349,4352,4350.5,98340,4347901.6,14715487.1,TZ12,CaCl2,S1K3
TZ122,S,4333.8,4344.4,4339.1,88900,4347901.6,14715487.1,TZ12,CaCl2,S1K3
TZ12-2,S,4350.5,4357,4353.75,95200,4346892.8,14716071.3,TZ12,CaCl2,S1K3
TZ12-2,S,4350.5,4357,4353.75,90630,4346892.8,14716071.3,TZ12,CaCl2,S1K3
TZ12-2,S,4350.5,4357,4353.75,88390,4346892.8,14716071.3,TZ12,CaCl2,S1K3
TZ12-2,S,4350.5,4357,4353.75,97140,4346892.8,14716071.3,TZ12,CaCl2,S1K3
TZ12-2,S,4112,4357,4234.5,86860,4346892.8,14716071.3,TZ12,CaCl2,S1K3
TZ12-2,S,4112,4357,4234.5,90620,4346892.8,14716071.3,TZ12,CaCl2,S1K3
