wellid,layer,tops,bottom,types,salinaty
TZ47,S,4978.5,4968,CaCl2,59130
TZ47,S,4978.5,4968,CaCl2,60670
TZ47,S,4978.5,4968,CaCl2,59670
TZ47,S,5007,5012,CaCl2,58360
TZ47,S,5007,5012,NaHCO3,18840
TZ47,S,4978.5,4986,NaSO4,6810
TZ47,S,4978.5,4968,CaCl2,59450
TZ47,S,5007,5012,CaCl2,58180
TZ47,S,5007,5012,CaCl2,58580
TZ47,S,5007,5012,CaCl2,57700
TZ47,S,5007,5012,CaCl2,58340
TZ47,S,5007,5012,CaCl2,58300
TZ47,S,4978.5,4968,CaCl2,60200
TZ47,S,5007,5012,CaCl2,58470
TZ47,S,4978.5,4968,CaCl2,59220
TZ47,S,4978.5,4968,CaCl2,59660
TZ47,S,4978.5,4968,CaCl2,59700
TZ47,S,5007,5012,CaCl2,58480
TZ50,S,4378.5,4401.5,CaCl2,133600
TZ50,S,4378.5,4401.5,CaCl2,102200
TZ58,S,4065.53,4108.98,CaCl2,116300
TZ58,S,4065.53,4108.98,CaCl2,116300
TZ58,S,4213.79,4247,MgCl2,5112
TZ58,S,4065.53,4108.98,CaCl2,116400
TZ58,S,4065.53,4108.98,CaCl2,116100
TZ58,S,4065.53,4108.98,CaCl2,116100
TZ58C,S,4237,4251,CaCl2,51540
TZ58C,S,4237,4251,CaCl2,47110
TZ58C,S,4237,4251,NaSO4,6452
TZ58C,S,4237,4251,NaSO4,5840
TZ58C,S,4237,4251,NaSO4,5889
TZ62,S,4052.1,4071.1,CaCl2,65770
TZ62,S,4052.88,4073.58,NaSO4,43390
TZ62,S,4052.1,4071.1,CaCl2,64050
TZ62,S,4052.1,4071.1,CaCl2,63790
TZ62,S,4052.88,4073.58,NaSO4,40570
TZ62,S,4052.1,4071.1,CaCl2,65570
TZ67,S,4601.11,4633.83,NaSO4,6278
TZ67,S,4601.11,4633.83,CaCl2,3454
TZ67,S,4601.46,4651.09,MgCl2,5996
TZ69,S+O,4355.62,4391.47,CaCl2,24280
TZ69,S+O,4355.62,4391.47,CaCl2,24750
TZ69,S,4368.5,4377,CaCl2,11000
TZ69,S,4368.5,4377,CaCl2,11810
TZ69,S,4369.5,4377,CaCl2,75700
TZ69,S,4368.5,4377,CaCl2,53380
